id,Hour1,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour2,Hour20,Hour21,Hour22,Hour23,Hour24,Hour25,Hour26,Hour27,Hour28,Hour29,Hour3,Hour30,Hour31,Hour32,Hour33,Hour34,Hour35,Hour36,Hour37,Hour38,Hour39,Hour4,Hour40,Hour41,Hour42,Hour43,Hour44,Hour45,Hour46,Hour47,Hour48,Hour49,Hour5,Hour50,Hour51,Hour52,Hour53,Hour54,Hour6,Hour7,Hour8,Hour9,HourTotal
1001,,,,,,,,,,,9,,6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
1003,,,,,,,,,,,27,,49,23,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,101
1005,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1007,,,,,,,,,1,,2,,1,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,41
1009,,,,,,,,,3,1,27,,1,6,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,66
1011,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1015,,,,,,,,,,,38,,60,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104
1017,,,,,,,,,,22,37,,16,55,63,53,,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,281
1019,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1021,,,,,,,,,4,1,5,,8,19,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,90
1025,,,,,,,,,,,,,,,17,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,9,13,,,,,,,,75
1027,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1029,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1031,,,,,,,,,,,28,,8,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
1033,,,,1,,,,,,,5,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
1037,,,,,,,,,3,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,44
1039,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
1041,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1043,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1045,,,,,,,,,,,16,,12,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
1047,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1049,,,,,,,,,,,18,57,16,,,,204,,,,,,102,,,,,,,,,,,,,,,,,,,,,6,,3,,,1,,,,,,407
