id,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23,Hour24,Hour25,Hour26,Hour27,Hour28,Hour29,Hour30,Hour31,Hour32,Hour33,Hour34,Hour35,Hour36,Hour37,Hour38,Hour39,Hour40,Hour41,Hour42,Hour43,Hour44,Hour45,Hour46,Hour47,Hour48,Hour49,Hour50,Hour51,Hour52,Hour53,Hour54,HourTotal
2185,,,,,20,,,,,,,,,,,,,,,,,,28,34,,31,23,1,,,66,,,,,,,,,,,,,,,,,,43,65,82,27,38,226,684
2188,,12,19,55,14,9,1,,,,,,,,,,,,,,,,,6,17,19,,,52,13,6,1,1,,,,,,,,,,,,,,,,3,5,4,39,109,128,513
2195,,,,,,,,,,,,,,,,,,,,,,,,,11,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,18
2198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,2
2220,,10,11,13,29,23,9,,,,,,,,,,,,,1,1,4,,,4,18,4,,,72,174,3,,,,,,,,,,,103,,25,7,19,2,4,,,19,20,2,577
2230,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2
2240,,,,3,2,,,,,,,,,,,,,,,,,,,,,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,11
2261,,1,,9,11,2,4,,,,,,,,,,,,,,,,,,,1,,,,,10,,,,,,,,,,,,,,,,,2,,2,,1,,,43
2270,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2
2275,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2280,3,5,,1,1,9,4,1,,,,,,,,,,,,,,,,,,4,2,2,7,6,9,,,,,,,,,,,,,,,,,,,8,1,2,11,,76
2282,,,,,,,,,,,,,,,,,,,,,,3,7,3,,,,,,9,1,28,,,,,,,,,,,,,,1,,,1,,,,,6,59
2290,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,6
4001,813,321,243,4,,,,,,,,,,,,,,,,,3,1,10,8,498,861,270,,,,,,,,,,,,,,,,,,,,,8,48,18,111,4,,,3221
4003,239,334,136,80,232,184,6,,,,,,,,,,,1,75,472,514,416,613,460,178,391,192,185,343,379,520,26,,,,,,,1,,,,546,17,32,,2,16,3,27,21,38,191,125,6995
4005,481,307,84,,,,,,,,,,,,1,,,,,117,83,200,127,141,267,73,400,22,,,,1,,,,,,,1,,,,,,,10,315,588,519,859,365,38,7,,5006
4007,2,7,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,1,,,,18
4009,203,46,71,1,,,,,,,,,,,,,,,,,,2,,,150,185,46,,,,,,,,,,,,,,,,,,,,,,16,26,24,,,,770
4012,1,1,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
