id,Hour0,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23,Hour24,Hour25,Hour26,Hour27,Hour28,Hour29,Hour30,Hour31,Hour32,Hour33,Hour34,Hour35,Hour36,Hour37,Hour38,Hour39,Hour40,Hour41,Hour42,Hour43,Hour44,Hour45,Hour46,Hour47,Hour48,Hour49,Hour50,Hour51,Hour52,Hour53,Hour54,HourTotal
2105,,,,,2,4,5,2,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,17
2110,,,,32,30,52,55,2269,,,,,,,,,,,,,,2,11,11,11,15,1,,,4,23,921,,,,,,,,,,,,,,,,,9,11,9,5,21,23,29,3544
2122,66,8,16,53,82,86,75,722,,,1,,,,,,,,,,,3,1,42,29,10,12,29,58,131,141,703,,,,,,,,,,,,,,,,2,7,20,25,19,68,70,154,2633
2130,2,,,,10,4,14,502,,,,,,,,,,,,,,,,,,,,,,3,9,288,,,,,,,,,,,,,,,,,1,2,,,,,,835
2150,2,,,2,,21,21,215,,,,,,,,,,,,,,,,,,1,2,15,13,17,28,230,,,,,,,,,,,,,,,,,2,3,2,21,37,22,16,670
2164,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2170,18,23,46,74,35,17,76,1097,,,,,,,,,,,,,,,1,39,20,23,39,15,75,56,71,570,,,,,,,,,,,,,,,,24,47,66,104,113,127,40,34,2850
2185,2,,,,,,9,123,,,,,,,,,,,,,,,,,,,1,,,,,148,,,,,,,,,,,,,,,,,,,,,16,24,,323
2188,,,,,5,2,4,48,,,,,,,,,,,,,,,,,,,7,26,,19,,62,,,,,,,,,,,,,,,,,,,,3,7,34,75,292
2195,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,2,2,18,,,,,,,,,,,,,,,,,,,,,,,,31
2198,,,,,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
2220,6,,,,,,13,628,,,,,,,,,,,,,,,,,,,,,15,2,6,245,,,,,,,,,,,,,,,,4,6,7,11,5,1,20,27,996
2230,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3
2240,,,1,,,1,4,1,,,,,,,,,,,,,,,,,,1,,,3,2,4,1,,,,,,,,,,,,,,,1,1,,,,,,,1,21
2261,,6,10,3,1,20,5,2,,,,,,,,,,,,,,,,,5,1,8,1,,,,3,,,,,,,,,,,,,,,,1,,,2,,1,,8,77
2275,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,5
2280,,,,,4,3,1,4,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,17
2282,,,,,,,,24,,,,,,,,,,,,,,,,,,,6,,,,2,14,,,,,,,,,,,,,,,,,,,,1,,,,47
2290,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,4
4001,30,20,,15,,,1,1,,,,,,,,,,,,,,,,,33,68,30,215,59,,,131,,,,,,,,,,,,,,,17,,7,92,31,79,6,,,835
4003,395,328,224,193,237,317,184,1405,,,,,,,,,,1,,,,48,52,225,271,278,319,45,52,168,37,1361,,,,,,,,,,,,,,,50,71,163,60,77,46,197,432,26,7262
4005,220,334,518,76,52,13,,769,,,,,,,,,,,,2,60,104,121,255,304,147,202,97,12,,,160,,,,,,,,1,,,,,,8,54,229,247,180,146,258,61,41,,4671
4007,22,17,7,,1,,1,143,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,1,,3,,,,323
4009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,5,,,,13
4011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,7,14,1,,,42
4013,621,320,1720,3471,2470,1061,9,6427,6,53,1,,,,,3,1,5,10,989,4457,5922,3700,2267,2294,3442,3416,1681,337,25,2,5712,,1,2,,,,,2,,35,6,223,1266,2794,2393,1830,2528,3273,3391,2996,2791,2228,216,76397
4015,,,1,,,,,,,,,,,,,1,,,1,,,1,,,6,10,4,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,27
4017,15,18,24,26,,,,215,,,,,,,,,,,,,16,59,107,100,88,136,136,132,17,,,15,,,,,,,,,,,,,4,20,38,68,69,110,125,15,1,,,1554
4019,1695,1622,1070,1196,1152,1173,858,7895,1,1,,1,,,,2,,1,1,,150,439,354,940,1183,1412,1361,182,123,537,46,3544,,,,,,1,,2,,,,42,69,56,221,275,755,469,604,1120,1723,2739,97,35112
4021,100,104,5,85,23,,1,339,,,1,,,1,,1,,,,,53,112,99,95,177,301,183,548,134,,,607,,,,,,,,,,,,4,28,89,75,56,182,494,175,406,206,169,11,4864
