id,hour0,hour1,hour2,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,hour24,hour25,hour26,hour27,hour28,hour29,hour30,hour32,hour33,hour34,hour35,hour36,hour37,hour38,hour39,hour40,hour41,hour42,hour43,hour44,hour45,hour46,hour47
2020,81,2,,,,,,,,,,,56,635,640,520,535,631,451,8,,,,,,,,,,,,,,,3,5,40,31,51,9,,
2090,7,,,,,,,,,,,,,,18,13,6,4,,,,,,,,,,,,,,,,3,,,21,27,24,30,31,21
2110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,17,,,,,,
2122,,,,,,,,,,,13,36,99,45,13,13,37,,,,,,,,,,,,,,,,,,39,69,49,126,83,43,2,
2170,90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4005,,,,,,,,,12,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4013,,,,,,,,254,964,966,647,227,220,188,160,80,133,6,43,,,,,,,,,,,,58,129,82,33,21,107,125,342,549,332,37,
4019,,,,,,,,,105,178,220,58,6,1,,2,18,,,,,,,,,,,,,,,,,,42,106,95,169,176,158,10,
5023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,28,8,14,,,,,,,,
5033,,,,,,,,,,,8,17,23,11,,,,,,,,,,,,,,,,,,,,,,,10,23,9,,,
5045,,,,,,,21,17,7,,70,,,,,,,,,,,,,,,,,,,,,,,,,6,25,3,15,,,
5075,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,19,16,,,,,
5111,,,,,,,,,20,13,28,78,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5119,,,,,,,14,150,41,9,,1,,,,,,,,,,,,,,,,,,,,,,,49,46,,,,,,
5121,,,,,,,,,,7,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5135,,,,,,,21,27,,25,25,23,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5143,,,,,,,,,,65,73,4,,,,,,,,,,,,,,,,,,,4,15,49,68,,72,19,,,,,
6001,,,,,,,,61,164,220,483,1025,1050,283,,,11,32,2,,,,,,,,,,,,26,291,30,40,86,185,3,,,2,28,10
6029,,,,,,,,,56,145,138,69,108,71,18,62,79,59,20,,,,,,,,,,,,,,,28,54,19,32,12,,,,
6031,,,,,,,,,,,,,,,,10,51,11,1,,,,,,,,,,,,,,,,15,19,14,7,,,,
6037,,,,,,,,,2,64,28,119,134,72,,,,,,,,,,,,,,,,,,1,231,109,35,77,213,48,34,,20,
6065,,,,,,,,23,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,75,
6067,,,,,,,,,,53,100,192,242,,,,,,,,,,,,,,,,,,,,,,92,55,49,,,,,
